static_case,month,outlet_id,static_price,static_demand,static_profit,opt_price,opt_demand,opt_profit,profit_diff_abs,profit_diff_pct_vs_static
month,June,OUT049,318.775,19.99396697519294,2974.300785493976,320.0,20.0,2982.4342970536113,8.13351155963528,0.2734596177798627
month,July,OUT010,264.61250000000007,12.881870910087642,862.8795569850499,250.0,15.0,923.347631832432,60.46807484738201,7.007707432386148
month,July,OUT013,264.61250000000007,18.268827854783556,1641.900868149888,265.925,18.0,1642.3524295819743,0.4515614320862369,0.027502356618829323
month,July,OUT017,264.61250000000007,18.268827854783556,1641.900868149888,265.925,18.0,1642.3524295819743,0.4515614320862369,0.027502356618829323
month,July,OUT018,264.61250000000007,17.97610503490711,1599.569489360506,271.0,17.0,1603.9066707009465,4.337181340440566,0.271146791014033
month,July,OUT019,264.61250000000007,12.881870910087642,862.8795569850499,250.0,15.0,923.347631832432,60.46807484738201,7.007707432386148
month,July,OUT027,264.61250000000007,21.380059276438473,2091.82382211396,279.575,20.0,2117.7006755295297,25.876853415569713,1.2370474579173223
month,July,OUT035,264.61250000000007,18.268827854783556,1641.900868149888,265.925,18.0,1642.3524295819743,0.4515614320862369,0.027502356618829323
month,July,OUT045,264.61250000000007,18.268827854783556,1641.900868149888,265.925,18.0,1642.3524295819743,0.4515614320862369,0.027502356618829323
month,July,OUT046,264.61250000000007,18.268827854783556,1641.900868149888,265.925,18.0,1642.3524295819743,0.4515614320862369,0.027502356618829323
month,July,OUT049,264.61250000000007,18.268827854783556,1641.900868149888,265.925,18.0,1642.3524295819743,0.4515614320862369,0.027502356618829323
month,August,OUT010,264.61250000000007,12.881870910087642,862.8795569850499,250.0,15.0,923.347631832432,60.46807484738201,7.007707432386148
month,August,OUT013,264.61250000000007,18.268827854783556,1641.900868149888,265.925,18.0,1642.3524295819743,0.4515614320862369,0.027502356618829323
month,August,OUT017,264.61250000000007,18.268827854783556,1641.900868149888,265.925,18.0,1642.3524295819743,0.4515614320862369,0.027502356618829323
month,August,OUT018,264.61250000000007,17.97610503490711,1599.569489360506,271.0,17.0,1603.9066707009465,4.337181340440566,0.271146791014033
month,August,OUT019,264.61250000000007,12.881870910087642,862.8795569850499,250.0,15.0,923.347631832432,60.46807484738201,7.007707432386148
month,August,OUT027,264.61250000000007,21.380059276438473,2091.82382211396,279.575,20.0,2117.7006755295297,25.876853415569713,1.2370474579173223
month,August,OUT035,264.61250000000007,18.268827854783556,1641.900868149888,265.925,18.0,1642.3524295819743,0.4515614320862369,0.027502356618829323
month,August,OUT045,264.61250000000007,18.268827854783556,1641.900868149888,265.925,18.0,1642.3524295819743,0.4515614320862369,0.027502356618829323
month,August,OUT046,264.61250000000007,18.268827854783556,1641.900868149888,265.925,18.0,1642.3524295819743,0.4515614320862369,0.027502356618829323
month,August,OUT049,264.61250000000007,18.268827854783556,1641.900868149888,265.925,18.0,1642.3524295819743,0.4515614320862369,0.027502356618829323
month,September,OUT010,264.61250000000007,12.881870910087642,862.8795569850499,250.0,15.0,923.347631832432,60.46807484738201,7.007707432386148
month,September,OUT013,264.61250000000007,18.268827854783556,1641.900868149888,265.925,18.0,1642.3524295819743,0.4515614320862369,0.027502356618829323
month,September,OUT017,264.61250000000007,18.268827854783556,1641.900868149888,265.925,18.0,1642.3524295819743,0.4515614320862369,0.027502356618829323
month,September,OUT018,264.61250000000007,17.97610503490711,1599.569489360506,271.0,17.0,1603.9066707009465,4.337181340440566,0.271146791014033
month,September,OUT019,264.61250000000007,12.881870910087642,862.8795569850499,250.0,15.0,923.347631832432,60.46807484738201,7.007707432386148
month,September,OUT027,264.61250000000007,21.380059276438473,2091.82382211396,279.575,20.0,2117.7006755295297,25.876853415569713,1.2370474579173223
month,September,OUT035,264.61250000000007,18.268827854783556,1641.900868149888,265.925,18.0,1642.3524295819743,0.4515614320862369,0.027502356618829323
month,September,OUT045,264.61250000000007,18.268827854783556,1641.900868149888,265.925,18.0,1642.3524295819743,0.4515614320862369,0.027502356618829323
month,September,OUT046,264.61250000000007,18.268827854783556,1641.900868149888,265.925,18.0,1642.3524295819743,0.4515614320862369,0.027502356618829323
month,September,OUT049,264.61250000000007,18.268827854783556,1641.900868149888,265.925,18.0,1642.3524295819743,0.4515614320862369,0.027502356618829323
month,October,OUT010,316.85,13.279267139594065,1614.023736429092,304.25,14.0,1625.7459264764725,11.722190047380536,0.7262712302679646
month,October,OUT013,316.85,19.088685796438575,2757.607799028934,320.0,19.0,2774.2457553712475,16.637956342313373,0.6033474502129083
month,October,OUT017,316.85,19.088685796438575,2757.607799028934,320.0,19.0,2774.2457553712475,16.637956342313373,0.6033474502129083
month,October,OUT018,316.85,19.228765306781707,2785.1824506399794,320.0,19.0,2807.4813840354873,22.298933395507902,0.8006273840474634
month,October,OUT019,316.85,13.279267139594065,1614.023736429092,304.25,14.0,1625.7459264764725,11.722190047380536,0.7262712302679646
month,October,OUT027,316.85,22.18383580311732,3366.888077843645,320.0,22.0,3393.081809993716,26.1937321500709,0.7779804835938271
month,October,OUT035,316.85,19.088685796438575,2757.607799028934,320.0,19.0,2774.2457553712475,16.637956342313373,0.6033474502129083
month,October,OUT045,316.85,19.088685796438575,2757.607799028934,320.0,19.0,2774.2457553712475,16.637956342313373,0.6033474502129083
month,October,OUT046,316.85,19.088685796438575,2757.607799028934,320.0,19.0,2774.2457553712475,16.637956342313373,0.6033474502129083
month,October,OUT049,316.85,19.088685796438575,2757.607799028934,320.0,19.0,2774.2457553712475,16.637956342313373,0.6033474502129083
month,November,OUT010,316.85,13.279267139594065,1614.023736429092,304.25,14.0,1625.7459264764725,11.722190047380536,0.7262712302679646
